,1696063983.2686644,bytearray(b'g\x08\x00\x00\xe1\x00@\x00'),bytearray(b'\xbe\x05\xf5\x04l\x03\x00\xff'),bytearray(b'Q\x07\xa6\x05\t\x00Q\x02'),bytearray(b'\t\x00\xe6\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.7181895,bytearray(b'l\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xe1\x04l\x03\x00\xff'),bytearray(b'\xca\x07\xa7\x05\t\x00P\x02'),bytearray(b'\t\x00\xe0\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.7415729,bytearray(b'l\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xe1\x04l\x03\x00\xff'),bytearray(b'\xca\x07\xa7\x05\t\x00P\x02'),bytearray(b'\t\x00\xdd\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.767763,bytearray(b'\x81\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xcc\x04l\x03\x00\xff'),bytearray(b'\xca\x07\xa7\x05\t\x00P\x02'),bytearray(b'\t\x00\xdd\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.7907958,bytearray(b'\x81\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xcc\x04l\x03\x00\xff'),bytearray(b'\xca\x07\xa7\x05\t\x00P\x02'),bytearray(b'\t\x00\xdd\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.813514,bytearray(b'\xb5\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xdb\x04l\x03\x00\xff'),bytearray(b'\xca\x07\xa7\x05\t\x00P\x02'),bytearray(b'\t\x00\xdd\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.8378072,bytearray(b'\xb5\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xdb\x04l\x03\x00\xff'),bytearray(b'x\x07\xa7\x05\t\x00M\x02'),bytearray(b'\t\x00\xd9\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.8616753,bytearray(b'*\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xdf\x04l\x03\x00\xff'),bytearray(b'x\x07\xa7\x05\t\x00M\x02'),bytearray(b'\t\x00\xd9\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.8849368,bytearray(b'*\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xdf\x04l\x03\x00\xff'),bytearray(b'x\x07\xa7\x05\t\x00M\x02'),bytearray(b'\t\x00\xd9\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.9075627,bytearray(b'|\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xe3\x04l\x03\x00\xff'),bytearray(b'x\x07\xa7\x05\t\x00M\x02'),bytearray(b'\t\x00\xd9\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.9311664,bytearray(b'|\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xe3\x04l\x03\x00\xff'),bytearray(b'\xf1\x06\xa7\x05\t\x00I\x02'),bytearray(b'\t\x00\xd1\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.9546087,bytearray(b'\t\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xe3\x04l\x03\x00\xff'),bytearray(b'\xf1\x06\xa7\x05\t\x00I\x02'),bytearray(b'\t\x00\xd1\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),,,,,,,,,,,
1696063983.9780855,bytearray(b'\t\x08\x00\x00\xe0\x002\x00'),bytearray(b'\xbe\x05\xe4\x04l\x03\x00\xff'),bytearray(b'\xf1\x06\xa7\x05\t\x00I\x02'),bytearray(b'\t\x00\xd1\x02\t\x00*\x00'),bytearray(b'\x00\x00\x00\x00\x00\x00\x00\x00'),bytearray(b'\xaa\x05\xb8\x03\xac\x06\x00\xff'),,,,,,,,,,
